dataset,model,label,accuracy,f1,recall,precision
InlineSkate,dagmm,3.0,0.15454545454545454,0.0,0.0,0.0
InlineSkate,dagmm,4.0,0.16363636363636364,0.0,0.0,0.0
InlineSkate,dagmm,5.0,0.3690909090909091,0.3984010044015673,0.28112239275875645,0.8260352980352982
InlineSkate,dagmm,6.0,0.3381818181818182,0.3750196229937783,0.25120322102140286,0.8617489177489179
InlineSkate,dagmm,7.0,0.30727272727272725,0.396040993749972,0.265944721944722,0.9153593073593075
InsectWingbeatSound,dagmm,1.0,0.6419191919191919,0.7433718414608428,0.6722404531495442,0.9138884460096579
InsectWingbeatSound,dagmm,2.0,0.33535353535353535,0.4315775165554365,0.2958277749186839,0.919124287609136
InsectWingbeatSound,dagmm,3.0,0.3333333333333333,0.4356416825826384,0.29709956709956703,0.8996472663139329
InsectWingbeatSound,dagmm,4.0,0.6661616161616162,0.7725782852427093,0.7062378362378362,0.9060800927467592
InsectWingbeatSound,dagmm,5.0,0.4348484848484849,0.5770110443627008,0.46413882413882407,0.8455825880068304
InsectWingbeatSound,dagmm,6.0,0.3409090909090909,0.4528268984500375,0.3124605024605023,0.9012666345999679
InsectWingbeatSound,dagmm,7.0,0.2388888888888889,0.31662493475209363,0.205773788501061,0.8300590318772139
InsectWingbeatSound,dagmm,8.0,0.21818181818181817,0.27911925488449885,0.1756182201636746,0.8327208593875262
InsectWingbeatSound,dagmm,9.0,0.30606060606060603,0.4120454153670578,0.28431430522339596,0.851467051467051
InsectWingbeatSound,dagmm,10.0,0.4590909090909091,0.5788687498929647,0.4491144209326027,0.9206035378762648
InsectWingbeatSound,dagmm,11.0,0.09090909090909091,0.0,0.0,0.0
ItalyPowerDemand,dagmm,1.0,0.49854227405247814,0.0,0.0,0.0
ItalyPowerDemand,dagmm,2.0,0.5014577259475219,0.0,0.0,0.0
LargeKitchenAppliances,dagmm,1.0,0.37333333333333335,0.1619433682244828,0.09866666666666667,0.5546666666666666
LargeKitchenAppliances,dagmm,2.0,0.3893333333333333,0.18689101839566236,0.11651282051282051,0.672
LargeKitchenAppliances,dagmm,3.0,0.3626666666666667,0.12075385850246534,0.06826666666666667,0.6613333333333333
Lightning2,dagmm,-1.0,0.47540983606557374,0.24765689683722472,0.17262791852955786,0.44262295081967207
Lightning2,dagmm,1.0,0.5081967213114754,0.18248054313628084,0.1288056206088993,0.3251366120218579
Lightning7,dagmm,0.0,0.2876712328767123,0.3066287798464736,0.1993476842791911,0.7305936073059361
Lightning7,dagmm,1.0,0.1506849315068493,0.13215149073327961,0.075146771037182,0.547945205479452
Lightning7,dagmm,2.0,0.589041095890411,0.6709976426544412,0.5532515429775704,0.9634703196347033
Lightning7,dagmm,3.0,0.2876712328767123,0.3453534453916149,0.21813437703848662,1.0
Lightning7,dagmm,4.0,0.3013698630136986,0.3400144196106705,0.23204877314466354,0.7442922374429224
Lightning7,dagmm,5.0,0.2602739726027397,0.0,0.0,0.0
Lightning7,dagmm,6.0,0.3424657534246575,0.4046966731898239,0.28478918341932036,0.7050228310502283
Mallat,dagmm,1.0,0.6341151385927505,0.752290585573207,0.7256897378859,0.8460108193157228
Mallat,dagmm,2.0,0.6626865671641791,0.7667977205413824,0.7046784913735871,0.8895982103658008
Mallat,dagmm,3.0,0.7646055437100213,0.8466947567522825,0.8669581449112368,0.8617285675707853
Mallat,dagmm,4.0,0.870362473347548,0.9278998840838845,0.9912937666455791,0.8760760206389203
Mallat,dagmm,5.0,0.12707889125799574,0.0,0.0,0.0
Mallat,dagmm,6.0,0.27505330490405117,0.317642096055293,0.20410242209815757,0.8531952482485532
Mallat,dagmm,7.0,0.15735607675906182,0.07647495278249071,0.041861961776673916,0.4810234541577825
Mallat,dagmm,8.0,0.12238805970149254,0.06257342195132234,0.03514966909423199,0.33432835820895523
Meat,dagmm,1.0,0.5666666666666667,0.3555555555555555,0.3333333333333333,0.4
Meat,dagmm,2.0,0.3,0.3183566760037348,0.38333333333333336,0.5025641025641026
Meat,dagmm,3.0,0.5333333333333333,0.3868802440884821,0.38333333333333336,0.46060606060606063
MedicalImages,dagmm,1.0,0.1013157894736842,0.0,0.0,0.0
MedicalImages,dagmm,2.0,0.39210526315789473,0.48676115274175313,0.3744119915172547,0.9070217209690894
MedicalImages,dagmm,3.0,0.36447368421052634,0.4783827228928941,0.3334972045498361,0.9622974101921471
MedicalImages,dagmm,4.0,0.24078947368421053,0.3478700274550676,0.22098611914401387,0.9352631578947367
MedicalImages,dagmm,5.0,0.28289473684210525,0.40126145789414186,0.2787834972045498,0.9127477785372524
MedicalImages,dagmm,6.0,0.060526315789473685,0.09103887168902647,0.04964912280701755,0.6105263157894737
MedicalImages,dagmm,7.0,0.04078947368421053,0.0,0.0,0.0
MedicalImages,dagmm,8.0,0.8565789473684211,0.9111263139690964,0.8723684210526316,0.9801754385964913
MedicalImages,dagmm,9.0,0.3105263157894737,0.4064982648988997,0.27210526315789474,0.9382790309106096
MedicalImages,dagmm,10.0,0.4394736842105263,0.1588828130933394,0.11396901344269768,0.2975438596491228
MiddlePhalanxOutlineAgeGroup,dagmm,1.0,0.24025974025974026,0.0,0.0,0.0
MiddlePhalanxOutlineAgeGroup,dagmm,2.0,0.5974025974025974,0.371894529105739,0.3311577311577311,0.4761904761904763
